3,"Roob, Champlin and Kerluke",194,"Trantow, Bashirian and Marvin",2022.00,10.00,3482377949
3,"Roob, Champlin and Kerluke",208,Stehr-Gulgowski,2022.00,2.00,8116564077
3,"Roob, Champlin and Kerluke",218,Miller-Barton,2022.00,7.00,9260068954
3,"Roob, Champlin and Kerluke",226,"Hand, Davis and Emmerich",2022.00,4.00,9347664571
3,"Roob, Champlin and Kerluke",255,"McKenzie, Reynolds and McCullough",2022.00,2.00,912357945
3,"Roob, Champlin and Kerluke",306,Dooley Group,2022.00,6.00,5555182630
3,"Roob, Champlin and Kerluke",319,"Herman, Rowe and Brown",2022.00,6.00,3319511124
3,"Roob, Champlin and Kerluke",353,Cassin-Gleason,2022.00,8.00,4498952153
3,"Roob, Champlin and Kerluke",371,"Mayert, Paucek and McLaughlin",2022.00,4.00,3548478041
3,"Roob, Champlin and Kerluke",379,Bernier-Sanford,2022.00,3.00,5803565082
3,"Roob, Champlin and Kerluke",432,"Dach, Kutch and Hoppe",2022.00,9.00,3589175504
3,"Roob, Champlin and Kerluke",460,"Dibbert, Jerde and Stamm",2022.00,11.00,931321396
3,"Roob, Champlin and Kerluke",526,"Ullrich, Yost and Lebsack",2022.00,3.00,7217140536
3,"Roob, Champlin and Kerluke",531,Hoppe-Reinger,2022.00,10.00,418907404
3,"Roob, Champlin and Kerluke",551,Zulauf Group,2022.00,3.00,7394252033
3,"Roob, Champlin and Kerluke",589,Anderson PLC,2022.00,5.00,658208937
3,"Roob, Champlin and Kerluke",629,"Deckow, Corkery and Upton",2022.00,5.00,6331092318
3,"Roob, Champlin and Kerluke",654,Mertz and Sons,2022.00,3.00,1874291050
3,"Roob, Champlin and Kerluke",666,"Cronin, Rohan and Swaniawski",2022.00,4.00,8586773143
3,"Roob, Champlin and Kerluke",716,Eichmann-Rippin,2022.00,1.00,2118319312
3,"Roob, Champlin and Kerluke",786,Fadel-Schaden,2022.00,9.00,9878640015
4,Kuhn-Schoen,1,Stamm and Sons,2022.00,5.00,9463028719
4,Kuhn-Schoen,110,McCullough-Hills,2022.00,6.00,2451912553
4,Kuhn-Schoen,121,"Blanda, Lockman and Kertzmann",2022.00,6.00,8810642659
4,Kuhn-Schoen,158,Swift and Sons,2022.00,12.00,2634905271
4,Kuhn-Schoen,323,"Mills, Smitham and Brakus",2022.00,11.00,9358732185
4,Kuhn-Schoen,352,Shields Group,2022.00,1.00,376782952
4,Kuhn-Schoen,390,Schulist-Haag,2022.00,2.00,9137580584
4,Kuhn-Schoen,397,"Renner, D''Amore and Emmerich",2022.00,8.00,278819103
4,Kuhn-Schoen,427,McDermott PLC,2022.00,8.00,4556527625
4,Kuhn-Schoen,639,Sipes Ltd,2022.00,12.00,6371213487
4,Kuhn-Schoen,695,Hirthe-Ziemann,2022.00,10.00,94707778
4,Kuhn-Schoen,711,Jacobi-Hermann,2022.00,11.00,4262157632
4,Kuhn-Schoen,744,"Langosh, Dicki and Zboncak",2022.00,6.00,188984547
4,Kuhn-Schoen,761,Emmerich-Gibson,2022.00,1.00,3021591460
4,Kuhn-Schoen,789,Becker Ltd,2022.00,8.00,7603033440
4,Kuhn-Schoen,794,"Dickinson, McCullough and Sporer",2022.00,12.00,580964928
5,Schoen-Green,50,Kuphal-Dibbert,2022.00,2.00,6917285796
5,Schoen-Green,91,Pagac-Boyer,2022.00,6.00,4539127531
5,Schoen-Green,112,"Fahey, Harber and Pouros",2022.00,9.00,6466158817
5,Schoen-Green,129,"Conn, Sanford and Collier",2022.00,8.00,6186943240
5,Schoen-Green,227,"Aufderhar, O''Hara and Marvin",2022.00,5.00,4700226674
5,Schoen-Green,245,Wehner PLC,2022.00,4.00,7009677360
5,Schoen-Green,362,Tillman-Hintz,2022.00,11.00,3025711362
5,Schoen-Green,380,"Hickle, Emard and Howell",2022.00,6.00,8941946115
5,Schoen-Green,421,"Harber, Lynch and Kunde",2022.00,11.00,1031389368
5,Schoen-Green,424,"Kemmer, Bosco and Bayer",2022.00,3.00,1248918723
5,Schoen-Green,459,Nolan-Abshire,2022.00,5.00,6118265387
5,Schoen-Green,459,Nolan-Abshire,2022.00,11.00,1749148079
5,Schoen-Green,507,Kuhlman-O'Keefe,2022.00,8.00,5101142645
5,Schoen-Green,508,"Connelly, Conn and Cronin",2022.00,1.00,3727603790
5,Schoen-Green,551,Zulauf Group,2022.00,4.00,2310261387
5,Schoen-Green,585,Hintz-Vandervort,2022.00,1.00,5996365656
5,Schoen-Green,599,"Johnston, Hodkiewicz and Weissnat",2022.00,9.00,2652217690
5,Schoen-Green,659,Luettgen LLC,2022.00,7.00,4264108957
5,Schoen-Green,719,Buckridge Ltd,2022.00,9.00,3653440730
5,Schoen-Green,768,Boehm Inc,2022.00,9.00,7709000043
