"subdistrictid","subdistrictcityid","subdistrictname","createdby","createddate","updatedby","updateddate","isactive"
110709,1107,Kota Sigli,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110711,1107,Mila,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110712,1107,Muara Tiga,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110713,1107,Mutiara,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110714,1107,Padang Tiji,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110715,1107,Peukan Baro,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110716,1107,Pidie,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110717,1107,Sakti,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110718,1107,Simpang Tiga,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110719,1107,Tangse,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110721,1107,Tiro/Truseb,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110722,1107,Keumala,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110724,1107,Mutiara Timur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110725,1107,Grong-grong,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110727,1107,Mane,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110729,1107,Glumpang Baro,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110731,1107,Titeue,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110801,1108,Baktiya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110802,1108,Dewantara,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110803,1108,Kuta Makmur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110804,1108,Lhoksukon,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110805,1108,Matangkuli,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110806,1108,Muara Batu,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110807,1108,Meurah Mulia,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110808,1108,Samudera,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110809,1108,Seunuddon,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110810,1108,Syamtalira Aron,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110811,1108,Syamtalira Bayu,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110812,1108,Tanah Luas,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110813,1108,Tanah Pasir,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110814,1108,T. Jambo Aye,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110815,1108,Sawang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110816,1108,Nisam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110817,1108,Cot Girek,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110818,1108,Langkahan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110819,1108,Baktiya Barat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110820,1108,Paya Bakong,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110821,1108,Nibong,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110822,1108,Simpang Kramat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110823,1108,Lapang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110824,1108,Pirak Timur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110825,1108,Geuredong Pase,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110826,1108,Banda Baro,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110827,1108,Nisam Antara,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110901,1109,Simeulue Tengah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110902,1109,Salang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110903,1109,Teupah Barat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110904,1109,Simeulue Timur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110905,1109,Teluk Dalam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110906,1109,Simeulue Barat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110907,1109,Teupah Selatan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110908,1109,Alapan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110909,1109,Teupah Tengah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
110910,1109,Simeulue Cut,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111001,1110,Pulau Banyak,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111002,1110,Simpang Kanan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111004,1110,Singkil,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111006,1110,Gunung Meriah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111009,1110,Kota Baharu,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111010,1110,Singkil Utara,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111011,1110,Danau Paris,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111012,1110,Suro Makmur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111013,1110,Singkohor,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111014,1110,Kuala Baru,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111016,1110,Pulau Banyak Barat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111101,1111,Samalanga,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111102,1111,Jeunieb,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111103,1111,Peudada,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111104,1111,Jeumpa,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111105,1111,Peusangan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111106,1111,Makmur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111107,1111,Gandapura,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111108,1111,Pandrah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111109,1111,Juli,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111110,1111,Jangka,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111111,1111,Simpang Mamplam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111112,1111,Peulimbang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111113,1111,Kota Juang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111114,1111,Kuala,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111115,1111,Peusangan Siblah Krueng,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111116,1111,Peusangan Selatan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111117,1111,Kuta Blang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111201,1112,Blang Pidie,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111202,1112,Tangan-Tangan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111203,1112,Manggeng,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111204,1112,Susoh,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111205,1112,Kuala Batee,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111206,1112,Babah Rot,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111207,1112,Setia,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111208,1112,Jeumpa,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111209,1112,Lembah Sabil,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111301,1113,Blangkejeren,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111302,1113,Kutapanjang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111303,1113,Rikit Gaib,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111304,1113,Terangun,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111305,1113,Pining,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111306,1113,Blangpegayon,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111307,1113,Puteri Betung,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111308,1113,Dabun Gelang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111309,1113,Blangjerango,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111310,1113,Teripe Jaya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111311,1113,Pantan Cuaca,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111401,1114,Teunom,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111402,1114,Krueng Sabee,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111403,1114,Setia Bhakti,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111404,1114,Sampoiniet,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111405,1114,Jaya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111406,1114,Panga,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111407,1114,Indra Jaya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111408,1114,Darul Hikmah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111409,1114,Pasie Raya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111501,1115,Kuala,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111502,1115,Seunagan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111503,1115,Seunagan Timur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111504,1115,Beutong,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111505,1115,Darul Makmur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111506,1115,Suka Makmue,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111507,1115,Kuala Pesisir,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111508,1115,Tadu Raya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111509,1115,Tripa Makmur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111510,1115,Beutong Ateuh Banggalang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111601,1116,Manyak Payed,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111602,1116,Bendahara,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111603,1116,Karang Baru,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111604,1116,Seruway,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111605,1116,Kota Kualasinpang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111606,1116,Kejuruan Muda,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111607,1116,Tamiang Hulu,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111608,1116,Rantau,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111609,1116,Banda Mulia,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111610,1116,Bandar Pusaka,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111611,1116,Tenggulun,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111612,1116,Sekerak,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111701,1117,Pintu Rime Gayo,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111702,1117,Permata,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111703,1117,Syiah Utama,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111704,1117,Bandar,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111705,1117,Bukit,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111706,1117,Wih Pesam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111707,1117,Timang gajah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111708,1117,Bener Kelipah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111709,1117,Mesidah,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111710,1117,Gajah Putih,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111801,1118,Meureudu,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111802,1118,Ulim,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111803,1118,Jangka Buaya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111804,1118,Bandar Dua,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111805,1118,Meurah Dua,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111806,1118,Bandar Baru,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111807,1118,Panteraja,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
111808,1118,Trienggadeng,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117101,1171,Baiturrahman,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117102,1171,Kuta Alam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117103,1171,Meuraxa,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117104,1171,Syiah Kuala,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117105,1171,Lueng Bata,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117106,1171,Kuta Raja,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117107,1171,Banda Raya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117108,1171,Jaya Baru,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117109,1171,Ulee Kareng,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117201,1172,Sukakarya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117202,1172,Sukajaya,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117203,1172,Sukamakmue,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117301,1173,Muara Dua,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117302,1173,Banda Sakti,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117303,1173,Blang Mangat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117304,1173,Muara Satu,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117401,1174,Langsa Timur,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117402,1174,Langsa Barat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117403,1174,Langsa Kota,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117404,1174,Langsa Lama,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117405,1174,Langsa Baro,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117501,1175,Simpang Kiri,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117502,1175,Penanggalan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117503,1175,Rundeng,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117504,1175,Sultan Daulat,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
117505,1175,Longkib,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
120101,1201,Barus,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
120102,1201,Sorkam,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
120103,1201,Pandan,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
120104,1201,Pinangsori,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
120105,1201,Manduamas,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
120106,1201,Kolang,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
120107,1201,Tapian Nauli,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
120108,1201,Sibabangun,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
120109,1201,Sosorgadong,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
